OrderID,Date,CustomerID,TrackingNumber,ShippingAddress,Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,TRK37947903,928 Main St,Monitor,5,570.62,Debit Card,Shipped,7,SAVE10,Instagram,2853.10
ORD200001,2024-08-23,C75739,TRK91186779,823 Main St,Phone,2,151.35,Online,Shipped,3,SAVE10,Referral,302.70
ORD200002,2024-02-27,C81728,TRK42903982,512 Main St,Tablet,5,550.68,Credit Card,Cancelled,8,FREESHIP,Email,2753.40
ORD200003,2023-10-15,C33540,TRK62788070,275 Main St,Chair,1,273.19,Debit Card,Returned,5,SAVE10,Facebook,273.19
ORD200004,2025-05-08,C81840,TRK29241424,668 Main St,Printer,4,626.01,Online,Delivered,8,SAVE10,Email,2504.04
ORD200005,2023-10-23,C37249,TRK72976927,934 Main St,Phone,2,245.86,Credit Card,Shipped,4,SAVE10,Instagram,491.72
ORD200006,2025-06-17,C83492,TRK96417362,986 Main St,Laptop,1,664.42,Gift Card,Returned,6,SAVE10,Facebook,664.42
ORD200007,2023-05-12,C41460,TRK78809193,706 Main St,Monitor,5,149.55,Cash,Shipped,9,FREESHIP,Facebook,747.75
ORD200008,2025-04-02,C26817,TRK61042692,904 Main St,Phone,2,134.28,Gift Card,Cancelled,2,NO COUPON,Email,268.56
ORD200009,2023-11-21,C31946,TRK33478363,102 Main St,Desk,4,509.38,Credit Card,Shipped,6,SAVE10,Google,2037.52
ORD200010,2023-12-29,C43443,TRK98859248,333 Main St,Tablet,5,625.97,Credit Card,Returned,9,WINTER15,Instagram,3129.85
ORD200011,2024-02-17,C93861,TRK48234646,831 Main St,Monitor,3,49.14,Online,Returned,7,SAVE10,Email,147.42
ORD200012,2024-10-15,C38785,TRK20419991,179 Main St,Monitor,2,180.50,Debit Card,Pending,6,FREESHIP,Referral,361.00
ORD200013,2023-08-30,C88348,TRK81913874,903 Main St,Laptop,3,201.49,Credit Card,Returned,4,FREESHIP,Facebook,604.47
ORD200014,2023-03-27,C98474,TRK79186539,980 Main St,Tablet,2,393.33,Debit Card,Pending,3,SAVE10,Instagram,786.66
ORD200015,2023-07-17,C39416,TRK54930938,942 Main St,Printer,1,473.96,Cash,Delivered,3,NO COUPON,Google,473.96
ORD200016,2023-01-24,C28976,TRK13194259,914 Main St,Printer,2,533.81,Credit Card,Pending,3,FREESHIP,Email,1067.62
ORD200017,2024-03-02,C60672,TRK11972116,382 Main St,Tablet,1,423.40,Debit Card,Shipped,3,NO COUPON,Referral,423.40
ORD200018,2025-03-26,C84329,TRK65191045,891 Main St,Desk,1,431.44,Gift Card,Pending,3,SAVE10,Facebook,431.44
ORD200019,2023-01-23,C14552,TRK59101365,273 Main St,Monitor,5,224.00,Cash,Returned,9,SAVE10,Google,1120.00
